index,job title,salary estimate,job description,rating,company name,location,headquarters,size,founded,type of ownership,industry,sector,revenue,competitors
0.0,Sr Data Scientist,$137K-$171K (Glassdoor est.),4d62bae6d731b2726a57388a625a6845a1175bb32ccad6563b4372c15bcca713,3.1,b99a9eb61d579e8c83320882594a9ddc82110f85a95677f3de0df10b47f696e7,"New York, NY","New York, NY",3.0,1993.0,7.0,Insurance Carriers,Insurance,13.0,"EmblemHealth, UnitedHealth Group, Aetna"
1.0,Data Scientist,$137K-$171K (Glassdoor est.),3bcf5b155350bd197013c96155a446744dd33bb807256b6098059fff7054aa5f,4.2,dbf7c00ed8b77ec4e01a3cf3fd41345d0f4312429b90318a921b452a7e2e6686,"Chantilly, VA","Herndon, VA",5.0,1968.0,3.0,Research & Development,Business Services,0.0,-1
2.0,Data Scientist,$137K-$171K (Glassdoor est.),a0246e240a742c3ab54db617e0af1fe439badad2599c2375e95f09eafcceadd8,3.8,f4c5cc615d8f9db88616b30c7d78504407077cc8a1774b3a5c327fa55534d9b9,"Boston, MA","Boston, MA",3.0,1981.0,9.0,Consulting,Business Services,4.0,-1
3.0,Data Scientist,$137K-$171K (Glassdoor est.),1f591161f70d62642ac49fa40d1cdd6a9c2d10fa2ce4aebcfa066a9a52430b9f,3.5,cf68d1c443247c7f91cc85e74958a2689acec0f065313fc2e9135ad901da1d14,"Newton, MA","Bad Ragaz, Switzerland",6.0,2000.0,3.0,Electrical & Electronic Manufacturing,Manufacturing,4.0,"MKS Instruments, Pfeiffer Vacuum, Agilent Technologies"
4.0,Data Scientist,$137K-$171K (Glassdoor est.),0597e7e68ab1ae68906d7bf28eccd4d30d343811787983a52ccefe957690f904,2.9,339e2d5a7071c9ab29ec290965735f4eee1c62cbf5763fcf171c789ae1c8343c,"New York, NY","New York, NY",7.0,1998.0,2.0,Advertising & Marketing,Business Services,13.0,"Commerce Signals, Cardlytics, Yodlee"
5.0,Data Scientist,$137K-$171K (Glassdoor est.),d4aac016981598ed5b11155947592f7f832ec322d33bb66f1551077d4794f24a,4.2,6d4f0ae66a9cbf4c38c0626ac93eb305dd1a6ccb36eb5b93aec65de6af1d2ee6,"Santa Barbara, CA","Santa Barbara, CA",7.0,2010.0,2.0,Computer Hardware & Software,Information Technology,13.0,-1
6.0,Data Scientist / Machine Learning Expert,$137K-$171K (Glassdoor est.),672176c9870490a268562c878167170ea7495bb9541bfe588b87fe94606fedd4,3.9,76196d350bac42c856fc5e62efbb3a2eecd92f210c94cda3a1743166210f00f6,"Cambridge, MA","Basel, Switzerland",2.0,1996.0,3.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,3.0,-1
7.0,Data Scientist,$137K-$171K (Glassdoor est.),7a0662e9cb84ddccf0414be408f3170ab940f8d7588eee621d7883320afd2f92,3.5,b118c22c04a8938f5ecd4ff36611a23bab13145d9fdcef90d394e488686da46f,"Bedford, MA","Bedford, MA",3.0,1990.0,3.0,Consumer Electronics & Appliances Stores,Retail,0.0,-1
8.0,Staff Data Scientist - Analytics,$137K-$171K (Glassdoor est.),fd9434986be7e06b20aef350b8cd17e3cba05233088f09ddb070dacffe477d5b,4.4,35bee6c0c80ed91b641bfe1c0930ea2ad94943aeef8dd3e1ee608fb2cc257ddc,"San Diego, CA","Mountain View, CA",5.0,1983.0,3.0,Computer Hardware & Software,Information Technology,5.0,"Square, PayPal, H&R Block"
9.0,Data Scientist,$137K-$171K (Glassdoor est.),9028e53d4b875cccc2c9d1f1a6db28ae50666238562108a42261726a063656fb,3.6,23d4d7fac1a79a91638ca8aaf605f05d97d276a6e40ef359d217ebe88a7870ad,"Chicago, IL","Chicago, IL",7.0,2014.0,2.0,Enterprise Software & Network Solutions,Information Technology,13.0,-1
10.0,Data Scientist,$137K-$171K (Glassdoor est.),3f9a547d6300c31fa05d0a325aaade2fceabf1cc877ac9afcadf2c126f96d23d,4.5,0a8248e28f4541817ca50daaa8df62cf99053074e25acf6021460b1a95fb2ab9,"Herndon, VA","Mc Lean, VA",6.0,2012.0,2.0,Enterprise Software & Network Solutions,Information Technology,4.0,"Leidos, CACI International, Booz Allen Hamilton"
11.0,Data Scientist,$137K-$171K (Glassdoor est.),b89e2e91ffffa3228d5768ac60b480c7601d02ccbfd96b3c133b93bcc0a86c97,4.7,3f8dfb402626de3adaf5447d450de809b143a1367494d7cc0db0a4236314f109,"Saint Louis, MO","Saint Louis, MO",7.0,2016.0,2.0,IT Services,Information Technology,13.0,"Slalom, Daugherty Business Solutions"
12.0,"Data Scientist - Statistics, Early Career",$137K-$171K (Glassdoor est.),a625bcb8fd14ea8e4c79c6e8102658d36a5c828296588a1390a99dcd98b0a409,3.7,dc1c0abc89def38f0a7c0a608f4695285c066c0d882dafe3d502b7ecac221517,"Richland, WA","Richland, WA",3.0,1965.0,5.0,Energy,"Oil, Gas, Energy & Utilities",10.0,"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
13.0,Data Modeler,$137K-$171K (Glassdoor est.),d35c6a1ae3680e41f870cd44b9cf112fa54073e3e93e5b63927f718f51217734,3.1,061d6ece268ea5633c7cfd9879ba1bcf132b5f6970d27b544b172fd3321d6f8b,"Northbrook, IL","Northbrook, IL",4.0,1973.0,2.0,Chemical Manufacturing,Manufacturing,0.0,-1
14.0,Data Scientist,$137K-$171K (Glassdoor est.),80580716d48260a6ee51ce55ff93c4430a008ac67c991b5da7b557de200b36c7,3.4,7bfca3faa51d08251196c664d4c4526dc02a161d233f67fdfc446a8ae12739c2,"Washington, DC","Princeton, NJ",3.0,1986.0,2.0,Consulting,Business Services,4.0,-1
15.0,Experienced Data Scientist,$137K-$171K (Glassdoor est.),767350197314bae177fb668756fb782b5fa89ff1132e178b6f71b7af6df7da7d,4.4,a07a5034b61b20ca64ec7073dd5c51f32929847defca27f510d93cb6f0564d6f,"Washington, DC","Mays Landing, NJ",1.0,1997.0,2.0,Federal Agencies,Government,13.0,-1
16.0,Data Scientist - Contract,$137K-$171K (Glassdoor est.),0382a72eb0be99efdbd19736d1305d4d4044e0720558be893b33de039f6ed4dd,4.1,6c283b0a17a0ee84357e1f86484117d54874882bf361431ca7ba6a78eb231d5f,Remote,"Washington, DC",7.0,2015.0,2.0,Internet,Information Technology,13.0,-1
17.0,Data Scientist,$137K-$171K (Glassdoor est.),78b497187d883500cd3667049238fd8e67f11d6b2da5d41dd02b39fe805bbc2b,3.5,64dc2424825260e445fd5ded71902e9165c71f7eade1efb80b67d916105594a1,"Memphis, TN","Memphis, TN",3.0,1945.0,2.0,Chemical Manufacturing,Manufacturing,10.0,-1
